player_id,name,age,position,club,league,market_value_m,minutes,goals,assists,xg,xa,progressive_carries,tackles_won,pass_completion_pct,contract_expires
p016,Idris Bakayoko,23,RW,CF Estorilha,Primeira Costeira,11.5,2450,4,7,10.7,6.9,188,27,80.1,2028
p017,Bruno Carvalho,33,CM,Real Sancroix,Liga Corvana,9.0,2760,8,12,7.1,11.4,178,64,90.8,2026
p018,Enzo Achterberg,25,RW,SC Braganova,Primeira Costeira,17.6,1980,4,3,4.9,2.3,112,20,78.9,2027
p019,Hugo Ekelund,24,CB,UD Peñalta,Liga Corvana,13.4,1720,1,1,1.1,0.7,26,44,87.4,2027
p020,Kofi Vos,25,LW,Vejlborg IF,Superliga Danica,13.4,1720,4,3,3.8,3.4,97,16,76.3,2027
p021,Elias Kaczmarek,26,LB,AC Vitrano,Serie Vantina,11.7,1980,1,2,1.1,1.5,72,42,85.8,2027
p022,Kofi Rasmussen,18,ST,Ravensmoor FC,Meridian Premier,33.9,780,5,1,5.1,1.0,16,4,78.2,2028
p023,Tomas Lindholm,25,DM,SV Hollenbach,Bundeskreis A,17.4,2950,2,4,1.1,4.5,53,85,93.4,2028
p024,Kwame Coelho,27,DM,Alderton Wanderers,Meridian Premier,11.5,1980,1,3,0.6,3.1,36,55,89.7,2026
p025,Kofi Ilic,27,LW,VfL Brandthal,Bundeskreis A,12.1,420,2,1,1.2,1.0,16,4,76.1,2030
p026,Nils Osei,20,AM,SC Heemskerk,Eredivisie Noord,25.6,1150,2,3,2.8,3.0,52,10,82.3,2027
p027,Hugo Halvorsen,24,DM,VfL Brandthal,Bundeskreis A,13.1,1720,1,1,1.1,1.7,26,62,93.0,2030
p028,Andrej Ferreira,27,ST,Vejlborg IF,Superliga Danica,5.3,420,1,0,1.3,0.6,10,2,75.3,2027
p029,Nuno Vandermeer,20,CB,VfL Brandthal,Bundeskreis A,15.4,2950,2,1,1.2,1.6,31,55,85.2,2027
p030,Nuno Delgado,29,CB,Vila Real AC,Primeira Costeira,2.9,1480,1,0,0.6,0.4,19,40,92.3,2029
p031,Joris Verhoeven,29,DM,FC Vlaardam,Eredivisie Noord,14.0,2900,1,2,1.2,2.4,21,58,94.1,2028
p032,Luca Marchetti,26,AM,AC Vitrano,Serie Vantina,44.0,2380,6,13,5.8,6.1,96,22,83.6,2030
p033,Arno Bjornstad,27,LB,US Montebelli,Serie Vantina,18.8,2950,2,4,2.4,5.2,103,65,81.5,2029
p034,Odin Etxeberria,24,CB,NK Solmar,Liga Kalorska,3.9,1150,0,0,0.3,0.0,12,23,90.8,2027
p035,Ousmane Haddad,31,CB,Northgate FC,Meridian Premier,4.9,1980,1,1,1.6,0.3,26,40,84.6,2030
p036,Bram Pereira,26,GK,Aalstrup BK,Superliga Danica,5.5,420,0,0,0.0,0.0,1,1,81.0,2030
p037,Jonas Brandão,26,GK,NK Vratnica,Liga Kalorska,11.1,1480,0,0,0.0,0.0,2,5,81.5,2030
p038,Anton Grimsson,22,CB,Aalstrup BK,Superliga Danica,6.0,2880,3,2,2.6,1.4,58,79,91.2,2027
p039,Marco Novak,25,AM,US Montebelli,Serie Vantina,27.2,2240,6,7,6.8,6.2,62,31,78.4,2026
p040,Amadou Ravelli,27,RB,Halewood City,Meridian Premier,24.3,2480,2,5,1.3,5.6,79,42,85.3,2029
p041,Noah Vukovic,24,ST,VfL Brandthal,Bundeskreis A,57.4,1980,11,3,12.4,2.2,44,9,69.1,2030
p042,Arno Moreno,22,LW,Aalstrup BK,Superliga Danica,11.1,780,2,1,1.3,0.7,39,8,73.8,2027
p043,Hugo Espinoza,25,LB,Vila Real AC,Primeira Costeira,8.7,2700,1,4,0.4,2.9,81,42,82.4,2030
p044,Nikola Pires,27,LB,Vejlborg IF,Superliga Danica,6.3,1480,0,2,0.1,1.3,30,41,86.5,2027
p045,Stefan Sorensen,18,CM,AC Vitrano,Serie Vantina,30.5,1980,3,3,2.4,3.2,43,48,84.0,2030
p046,Aleks Cabrera,22,ST,Halewood City,Meridian Premier,30.2,1150,7,2,7.8,1.7,29,6,79.5,2027
p047,Diego Serrano,25,AM,Atlético Ondara,Liga Corvana,26.0,2690,9,10,8.4,9.6,164,35,85.9,2029
p048,Enzo Traoré,30,RB,Vila Real AC,Primeira Costeira,3.6,1720,1,2,0.7,1.9,62,31,78.8,2027
p049,Yusuf Mensah,32,AM,VfL Brandthal,Bundeskreis A,19.4,2950,9,7,7.5,8.4,102,40,80.9,2029
p050,Ousmane Jovanovic,26,ST,FK Zeljava,Liga Kalorska,20.1,2240,7,2,6.1,1.8,51,11,70.1,2030
p051,Jonas Vidal,27,CM,Halewood City,Meridian Premier,15.6,1720,3,3,2.9,2.6,50,45,90.0,2027
p052,Yusuf Andersen,30,CM,Aalstrup BK,Superliga Danica,2.6,1480,1,1,0.5,1.3,42,40,82.4,2029
p053,Fode Diakite,21,LW,NK Vratnica,Liga Kalorska,8.5,2640,14,11,12.9,9.8,201,31,79.4,2028
p054,Finn Ricci,18,AM,VfL Brandthal,Bundeskreis A,45.7,1980,4,8,4.0,7.5,74,22,81.3,2028
p055,Pepe Duarte,31,CB,SC Braganova,Primeira Costeira,2.3,1150,0,0,0.4,0.3,14,27,87.3,2028
p056,Amadou Aguirre,26,RW,NK Vratnica,Liga Kalorska,17.8,2700,3,5,3.2,5.5,137,30,79.2,2026
